44.09,71.04,48.4,75.46,57.63,8.98,24.44,69.69,83.89,50.31,10.12,22.67,75.31,20.75,25.4,60.78,23.66,54.44,43.57,21.76
90.87,54.79,22.93,85.85,8.89,52.69,54.34,27.28,62.75,27.69,25.44,13.06,58.46,39.8,97.02,64.83,76.96,85.2,73.42,57.81
28.08,94.35,81.31,66.6,53.22,89.31,86.7,78.82,80.0,78.43,16.2,60.78,53.08,56.79,8.64,60.43,92.98,14.01,49.52,64.12
21.65,11.22,40.67,78.96,41.4,42.84,9.99,2.18,87.67,77.79,90.31,52.86,45.67,4.3,13.8,1.23,13.05,44.15,85.81,98.59
68.92,9.22,31.23,99.09,49.32,47.54,5.53,10.86,75.43,7.02,14.6,37.76,59.44,50.76,81.21,2.13,83.62,60.6,39.59,16.98
84.32,94.7,4.15,34.98,93.57,89.29,49.81,82.63,52.41,76.75,43.64,93.9,21.48,91.01,54.0,51.31,40.47,35.21,87.63,46.01
95.06,7.06,11.05,85.67,85.95,61.82,86.94,51.35,3.84,74.21,16.18,8.08,57.12,76.81,83.85,57.78,13.91,24.77,57.72,42.9
25.52,16.15,56.52,48.41,34.45,2.08,77.24,96.93,87.61,78.3,34.36,60.54,22.06,48.02,85.52,1.4,31.8,38.13,25.43,98.97
31.62,66.21,20.06,26.59,97.05,64.02,88.02,19.73,33.75,72.45,83.35,81.42,28.07,61.33,86.16,8.72,71.67,48.98,77.71,93.4
74.27,36.76,31.28,99.7,52.32,36.1,76.36,39.02,59.27,33.87,87.58,4.92,78.16,3.71,55.78,21.59,97.58,21.0,28.49,78.8
46.74,10.25,55.97,97.89,3.5,44.02,91.09,82.23,20.92,21.27,3.02,28.25,44.31,6.61,52.9,51.3,16.57,59.0,3.66,76.17
56.33,10.58,22.22,24.87,35.39,39.29,33.46,17.86,19.69,16.17,75.16,32.26,68.8,93.72,24.78,83.62,24.94,91.55,3.06,67.96
82.63,63.72,37.43,24.3,28.66,60.27,89.83,3.26,81.49,24.32,54.53,4.1,7.12,76.15,39.39,79.51,24.63,80.32,39.05,90.02
15.76,6.79,15.91,33.17,71.66,67.89,32.13,4.08,25.43,84.91,31.98,11.4,31.15,49.64,11.48,16.66,5.36,40.38,84.41,42.1
